,title,year,time(min),genre,rating,metascore,simple_desc,votes,Gross (M$)
129,Hauru no ugoku shiro,2004,119,"Animation, Adventure, Family",8.2,82,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",411568,4.71
130,The Truman Show,1998,103,"Comedy, Drama",8.2,90,An insurance salesman discovers his whole life is actually a reality TV show.,1116424,125.62
131,Batman Begins,2005,140,"Action, Crime, Drama",8.2,70,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",1502630,206.85
132,There Will Be Blood,2007,158,Drama,8.2,93,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",602124,40.22
133,Green Book,2018,130,"Biography, Comedy, Drama",8.2,69,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,518704,85.08
134,The Sixth Sense,1999,107,"Drama, Mystery, Thriller",8.2,64,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.",1010706,293.51
135,Finding Nemo,2003,100,"Animation, Adventure, Comedy",8.2,90,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",1065950,380.84
136,Die Hard,1988,132,"Action, Thriller",8.2,72,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,901007,83.01
137,Unforgiven,1992,130,"Drama, Western",8.2,85,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",420738,101.16
138,V for Vendetta,2005,132,"Action, Drama, Sci-Fi",8.2,62,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",1140413,70.51
139,L.A. Confidential,1997,138,"Crime, Drama, Mystery",8.2,91,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",592989,64.62
140,Pan's Labyrinth,2006,118,"Drama, Fantasy, War",8.2,98,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",680757,37.63
